epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.6885397434234619,1.1476386785507202,0.7430830001831055,0.7715458273887634,0.4440789520740509,215.9300994873047,0.4676258862018585,0.40625
1,0.7791127562522888,0.4769822359085083,0.7978532910346985,0.7797203063964844,0.8651315569877625,0.30010199546813965,0.83152174949646,0.9386503100395203
2,0.8687615394592285,0.32959243655204773,0.86919105052948,0.8844133019447327,0.7993420958518982,0.8435245156288147,0.7393364906311035,0.9629629850387573
3,0.9186691045761108,0.19343201816082,0.9274336099624634,0.917688250541687,0.9078947305679321,0.6689780354499817,0.9395973086357117,0.8805031180381775
4,0.9186691045761108,0.22965261340141296,0.9350180625915527,0.9087719321250916,0.9078947305679321,0.21696361899375916,0.9350649118423462,0.8888888955116272
5,0.9528650641441345,0.16456162929534912,0.9452054500579834,0.9667250514030457,0.9342105388641357,0.1799352765083313,0.9166666865348816,0.9624999761581421
6,0.9463955760002136,0.15967047214508057,0.9493007063865662,0.9493007063865662,0.9243420958518982,0.27640828490257263,0.9790209531784058,0.875
7,0.9584103226661682,0.13739614188671112,0.9615384340286255,0.9598603844642639,0.9407894611358643,0.19469112157821655,0.9668874144554138,0.9182389974594116
8,0.9778188467025757,0.08133148401975632,0.9740034937858582,0.9842382073402405,0.9210526347160339,0.2374129742383957,0.9928057789802551,0.8571428656578064
9,0.9667282700538635,0.09329234808683395,0.980286717414856,0.9562937021255493,0.9210526347160339,0.1698061227798462,0.8947368264198303,0.9622641801834106
10,0.9390018582344055,0.16654707491397858,0.945518434047699,0.9389179944992065,0.9407894611358643,0.16711853444576263,0.9268292784690857,0.9620253443717957
11,0.9676524996757507,0.10805404186248779,0.970331609249115,0.9686411023139954,0.8322368264198303,0.8418755531311035,0.8707482814788818,0.800000011920929
12,0.9269870519638062,0.19457179307937622,0.9332161545753479,0.9283216595649719,0.9473684430122375,0.22575406730175018,0.9390243887901306,0.9624999761581421
13,0.9704251289367676,0.08835488557815552,0.9719789624214172,0.9719789624214172,0.9440789222717285,0.12323683500289917,0.9668874144554138,0.9240506291389465
14,0.9768946170806885,0.05886008217930794,0.9789842367172241,0.9772727489471436,0.9506579041481018,0.12850026786327362,0.955974817276001,0.949999988079071
15,0.9870610237121582,0.04320938512682915,0.9895470142364502,0.9861111044883728,0.9440789222717285,0.15612657368183136,0.9556962251663208,0.9378882050514221
16,0.9658040404319763,0.09279478341341019,0.9716814160346985,0.9631578922271729,0.7796052694320679,0.5701442360877991,0.7136363387107849,0.9751552939414978
17,0.972273588180542,0.0896986871957779,0.9704347848892212,0.9772329330444336,0.9539473652839661,0.17890484631061554,0.9932432174682617,0.918749988079071
18,0.9916820526123047,0.02707352116703987,0.9895651936531067,0.9947552680969238,0.9736841917037964,0.07297530025243759,0.9871794581413269,0.9624999761581421
19,0.8789278864860535,0.2934085726737976,0.8782161474227905,0.8951048851013184,0.5625,0.7009612321853638,0.5707070827484131,0.7018633484840393
20,0.8706099987030029,0.34787964820861816,0.8857142925262451,0.867132842540741,0.5230262875556946,721295.5,0.5230262875556946,1.0
21,0.9149722456932068,0.22165440022945404,0.9240282773971558,0.9143356680870056,0.8322368264198303,1.8689241409301758,0.8666666746139526,0.8074533939361572
22,0.9029574990272522,0.2753998637199402,0.9178571701049805,0.897033154964447,0.4736842215061188,1733.6312255859375,0.0,0.0
23,0.9343807697296143,0.17320817708969116,0.9357638955116272,0.9406631588935852,0.9046052694320679,0.22562275826931,0.9851852059364319,0.831250011920929
24,0.9094269871711731,0.24550557136535645,0.9202127456665039,0.9073426723480225,0.4802631437778473,65.7767105102539,0.0,0.0
25,0.9621071815490723,0.11560682952404022,0.9647887349128723,0.9630931615829468,0.49671053886413574,8.94192123413086,0.6800000071525574,0.10493826866149902
26,0.9343807697296143,0.20667056739330292,0.9435626268386841,0.9320557713508606,0.9309210777282715,0.3483680486679077,0.9664429426193237,0.8999999761581421
27,0.9593345522880554,0.12985411286354065,0.961403489112854,0.961403489112854,0.9078947305679321,0.3298565745353699,0.9925373196601868,0.831250011920929
28,0.9584103226661682,0.12525716423988342,0.9680284261703491,0.9527971744537354,0.9210526347160339,0.4305169880390167,0.9053254723548889,0.9503105878829956
