epoch,accuracy,loss,precision_1,recall_1,val_accuracy,val_loss,val_precision_1,val_recall_1
0,0.47504621744155884,1.0783966779708862,0.7303754091262817,0.29195088148117065,0.47697368264198303,28.359050750732422,0.5,0.006289307959377766
1,0.4584103524684906,0.7117594480514526,0.3913043439388275,0.04728546366095543,0.4802631437778473,657.3112182617188,0.0,0.0
2,0.5406654477119446,0.6902365684509277,0.5523012280464172,0.692307710647583,0.4638157784938812,12400.2353515625,0.0,0.0
3,0.6044362187385559,0.6825011968612671,0.5881627798080444,0.8353765606880188,0.5493420958518982,0.7046688795089722,0.5722543597221375,0.6111111044883728
4,0.5600739121437073,0.7189061641693115,0.556460976600647,0.8342059254646301,0.5230262875556946,16306.55078125,0.5230262875556946,1.0
5,0.5462107062339783,0.7010506391525269,0.5406504273414612,0.9316987991333008,0.5065789222717285,1.6888806819915771,0.5205479264259338,0.9382715821266174
6,0.5563770532608032,0.6896954774856567,0.5471502542495728,0.9246935248374939,0.4868420958518982,569.65625,0.75,0.03750000149011612
7,0.5683918595314026,0.6867262125015259,0.555672287940979,0.9232111573219299,0.46710526943206787,13.053744316101074,0.4749999940395355,0.11874999850988388
8,0.5767098069190979,0.6864349246025085,0.5612134337425232,0.9071803689002991,0.5230262875556946,0.6921011209487915,0.5230262875556946,1.0
9,0.5268022418022156,0.7086333632469177,0.5301327705383301,0.9089316725730896,0.5756579041481018,151.69674682617188,0.5909090638160706,0.6459627151489258
10,0.5194085240364075,0.7037072777748108,0.5250235795974731,0.970331609249115,0.47697368264198303,380.4005126953125,0.0,0.0
11,0.5231053829193115,0.6833997964859009,0.5274621248245239,0.9703832864761353,0.37171053886413574,7.122389316558838,0.40883979201316833,0.4683544337749481
12,0.5831792950630188,0.663996160030365,0.6009771823883057,0.6417391300201416,0.6940789222717285,1.297707438468933,0.660287082195282,0.862500011920929
13,0.5822550654411316,0.6729615330696106,0.7449392676353455,0.32111692428588867,0.6282894611358643,0.9671217203140259,0.7764706015586853,0.4124999940395355
14,0.5887246131896973,0.6703692078590393,0.7782608866691589,0.31239092350006104,0.5427631735801697,1.5517686605453491,0.6202531456947327,0.31012657284736633
15,0.5785582065582275,0.6648617386817932,0.7623318433761597,0.2966841161251068,0.5559210777282715,0.7764281630516052,0.8205128312110901,0.20000000298023224
16,0.597966730594635,0.6586498618125916,0.7899159789085388,0.32809773087501526,0.6940789222717285,0.8560792207717896,0.6666666865348816,0.8447204828262329
17,0.6386321783065796,0.6446248888969421,0.7784615159034729,0.4423076808452606,0.47697368264198303,0.6996631026268005,0.75,0.018633540719747543
18,0.6561922430992126,0.6543803215026855,0.7468982338905334,0.5271453857421875,0.5888158082962036,0.6725813746452332,0.7536231875419617,0.32499998807907104
19,0.6340110898017883,0.6453534960746765,0.7675840854644775,0.43957969546318054,0.4868420958518982,0.7075119614601135,0.6428571343421936,0.05624999850988388
20,0.6238447427749634,0.6498304009437561,0.7321937084197998,0.45087718963623047,0.6348684430122375,0.6434356570243835,0.6838235259056091,0.5776397585868835
21,0.6571164727210999,0.6269975304603577,0.7171052694320679,0.57469242811203,0.4868420958518982,0.708400547504425,0.800000011920929,0.025157231837511063
22,0.682070255279541,0.6314379572868347,0.7602739930152893,0.5821678042411804,0.5756579041481018,0.8508777618408203,0.581632673740387,0.7080745100975037
23,0.7107208967208862,0.6089052557945251,0.7539370059967041,0.6707530617713928,0.7302631735801697,0.6277147531509399,0.6911764740943909,0.8812500238418579
24,0.664510190486908,0.6369434595108032,0.7085828185081482,0.6206293702125549,0.6414473652839661,0.7345733046531677,0.774193525314331,0.44999998807907104
25,0.5951941013336182,0.6916005611419678,0.7180327773094177,0.3835376501083374,0.5230262875556946,1.1245051622390747,0.8421052694320679,0.10126582533121109
26,0.6756007671356201,0.6145733594894409,0.7890625,0.5287958383560181,0.6710526347160339,0.6133837699890137,0.7767857313156128,0.5370370149612427
27,0.7153419852256775,0.6174048185348511,0.7471910119056702,0.6975524425506592,0.5657894611358643,0.6704670786857605,0.8888888955116272,0.20000000298023224
28,0.7171903848648071,0.6094428896903992,0.7413479089736938,0.7127845883369446,0.4736842215061188,0.7389029264450073,0.0,0.0
29,0.6524953842163086,0.6348192095756531,0.7317647337913513,0.5427573919296265,0.6414473652839661,0.6244197487831116,0.8095238208770752,0.42236024141311646
30,0.6913123726844788,0.6033750176429749,0.7697516679763794,0.5951134562492371,0.625,0.9216257333755493,0.623711347579956,0.7469135522842407
31,0.7116451263427734,0.5918729305267334,0.7514563202857971,0.6777583360671997,0.7072368264198303,1.1195863485336304,0.675000011920929,0.849056601524353
32,0.6839186549186707,0.6088308691978455,0.7505470514297485,0.6007004976272583,0.6973684430122375,1.0302181243896484,0.6650485396385193,0.856249988079071
33,0.6894639730453491,0.6071816086769104,0.7604395747184753,0.6038394570350647,0.5625,4.772718906402588,0.6811594367027283,0.297468364238739
34,0.7042514085769653,0.5855526328086853,0.7629937529563904,0.6404886841773987,0.47697368264198303,0.7511255145072937,1.0,0.0062500000931322575
35,0.7134935259819031,0.6036823987960815,0.7697095274925232,0.6508771777153015,0.4802631437778473,0.7622997760772705,0.0,0.0
36,0.733826220035553,0.5553202629089355,0.7730769515037537,0.7027971744537354,0.5921052694320679,4.13538932800293,0.5602836608886719,1.0
