epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8160813450813293,0.4308384954929352,0.001,0.856733500957489,0.8180574774742126,0.8388158082962036,0.35604432225227356,0.8135592937469482,0.8999999761581421
1,0.9704251289367676,0.08788108825683594,0.001,0.9688041806221008,0.9755671620368958,0.9539473652839661,0.10556118190288544,0.9622641801834106,0.9503105878829956
2,0.9824399352073669,0.05249379202723503,0.001,0.9792027473449707,0.9877622127532959,0.9736841917037964,0.08779427409172058,0.981249988079071,0.9691358208656311
3,0.9907578825950623,0.039639465510845184,0.001,0.9929577708244324,0.9894737005233765,0.9736841917037964,0.055322300642728806,0.9808917045593262,0.9685534834861755
4,0.986136794090271,0.044291529804468155,0.001,0.991134762763977,0.982425332069397,0.9671052694320679,0.07414094358682632,0.9691358208656311,0.9691358208656311
5,0.9953789114952087,0.02130218595266342,0.001,0.991304337978363,1.0,0.9671052694320679,0.09013667702674866,0.9683544039726257,0.9683544039726257
6,0.9944547414779663,0.026694249361753464,0.001,0.991349458694458,0.9982578158378601,0.9736841917037964,0.07333333790302277,0.9691358208656311,0.981249988079071
7,0.9953789114952087,0.024963805451989174,0.001,0.9964850544929504,0.9947368502616882,0.9671052694320679,0.0730246901512146,0.9685534834861755,0.9685534834861755
8,0.9981516003608704,0.016777992248535156,0.001,0.9982425570487976,0.9982425570487976,0.9638158082962036,0.08222431689500809,0.9629629850387573,0.9689440727233887
9,0.9953789114952087,0.020140962675213814,0.00020000001,0.996503472328186,0.9947643876075745,0.9671052694320679,0.06325579434633255,0.9685534834861755,0.9685534834861755
10,0.9972273707389832,0.021861745044589043,0.00020000001,0.9947916865348816,1.0,0.9671052694320679,0.07894544303417206,0.9683544039726257,0.9683544039726257
11,0.9926062822341919,0.021753542125225067,0.00020000001,0.9878472089767456,0.9982455968856812,0.9638158082962036,0.08343253284692764,0.9627329111099243,0.96875
12,0.9953789114952087,0.021059848368167877,0.00020000001,0.9964912533760071,0.9947460889816284,0.9671052694320679,0.07831984758377075,0.96875,0.96875
13,0.9981516003608704,0.016477100551128387,0.00020000001,0.9982578158378601,0.9982578158378601,0.9638158082962036,0.07731582969427109,0.9622641801834106,0.9683544039726257
